"Combinación","Participant","Result","u(xi)","z-score","z-score Eval","z'-score","z'-score Eval","zeta-score","zeta-score Eval","En-score","En-score Eval"
"Referencia (1)","part_1",32.9162658730159,0.0308603050598189,0.328423696291539,"Satisfactory",0.30542783361127,"Satisfactory",0.219282168378713,"Satisfactory",0.109641084189357,"Satisfactory"
"Referencia (1)","part_2",32.9167698412698,0.0373583842741235,0.352015217459938,"Satisfactory",0.327367502652878,"Satisfactory",0.196336288748735,"Satisfactory",0.0981681443743675,"Satisfactory"
"Referencia (1)","part_3",32.9144444444445,0.0242904617520501,0.243159852061858,"Satisfactory",0.226134069115899,"Satisfactory",0.20198996153355,"Satisfactory",0.100994980766775,"Satisfactory"
"Referencia (1)","part_4",32.9050555555556,0.0316693338687432,-0.196348329738402,"Satisfactory",-0.182600237627056,"Satisfactory",-0.127973958056557,"Satisfactory",-0.0639869790282784,"Satisfactory"
"Referencia (1)","part_5",32.9275912698413,0.0364672916697221,0.858582762588086,"Satisfactory",0.798465750536082,"Satisfactory",0.489986798052825,"Satisfactory",0.244993399026412,"Satisfactory"
"Referencia (1)","part_6",32.9032023809524,0.0416487672772533,-0.283098254042731,"Satisfactory",-0.263276028519723,"Satisfactory",-0.142309765055215,"Satisfactory",-0.0711548825276077,"Satisfactory"
"Consenso MADe (2a)","part_1",32.9162658730159,0.0308603050598189,0.104846800323587,"Satisfactory",0.0933895134386409,"Satisfactory",0.0292110747747008,"Satisfactory",0.0146055373873504,"Satisfactory"
"Consenso MADe (2a)","part_2",32.9167698412698,0.0373583842741235,0.16286659831909,"Satisfactory",0.14506911346349,"Satisfactory",0.037604099154785,"Satisfactory",0.0188020495773925,"Satisfactory"
"Consenso MADe (2a)","part_3",32.9144444444445,0.0242904617520501,-0.104846800322769,"Satisfactory",-0.0933895134379122,"Satisfactory",-0.0368835786404364,"Satisfactory",-0.0184417893202182,"Satisfactory"
"Consenso MADe (2a)","part_4",32.9050555555556,0.0316693338687432,-1.18575106857235,"Satisfactory",-1.05617639271351,"Satisfactory",-0.322083650707665,"Satisfactory",-0.161041825353832,"Satisfactory"
"Consenso MADe (2a)","part_5",32.9275912698413,0.0364672916697221,1.40869328450936,"Satisfactory",1.25475627313935,"Satisfactory",0.333085024752394,"Satisfactory",0.166542512376197,"Satisfactory"
"Consenso MADe (2a)","part_6",32.9032023809524,0.0416487672772533,-1.39909945964619,"Satisfactory",-1.24621082746794,"Satisfactory",-0.290153346764781,"Satisfactory",-0.145076673382391,"Satisfactory"
"Consenso nIQR (2b)","part_1",32.9162658730159,0.0308603050598189,0.132943106217114,"Satisfactory",0.118415554564565,"Satisfactory",0.0293233230549563,"Satisfactory",0.0146616615274781,"Satisfactory"
"Consenso nIQR (2b)","part_2",32.9167698412698,0.0373583842741235,0.206510751045626,"Satisfactory",0.183943987803895,"Satisfactory",0.0377031606249675,"Satisfactory",0.0188515803124838,"Satisfactory"
"Consenso nIQR (2b)","part_3",32.9144444444445,0.0242904617520501,-0.132943106216077,"Satisfactory",-0.118415554563642,"Satisfactory",-0.0371103190798653,"Satisfactory",-0.0185551595399327,"Satisfactory"
"Consenso nIQR (2b)","part_4",32.9050555555556,0.0316693338687432,-1.50350253674653,"Satisfactory",-1.33920510618513,"Satisfactory",-0.323259745874947,"Satisfactory",-0.161629872937474,"Satisfactory"
"Consenso nIQR (2b)","part_5",32.9275912698413,0.0364672916697221,1.78618766020398,"Satisfactory",1.59099940085656,"Satisfactory",0.334005430722189,"Satisfactory",0.167002715361094,"Satisfactory"
"Consenso nIQR (2b)","part_6",32.9032023809524,0.0416487672772533,-1.77402293153439,"Satisfactory",-1.58016399063841,"Satisfactory",-0.290769540238174,"Satisfactory",-0.145384770119087,"Satisfactory"
"Algoritmo A (3)","part_1",32.9162658730159,0.0308603050598189,0.368993314615073,"Satisfactory",0.328671032474614,"Satisfactory",0.0925933078852944,"Satisfactory",0.0462966539426472,"Satisfactory"
"Algoritmo A (3)","part_2",32.9167698412698,0.0373583842741235,0.433536673742899,"Satisfactory",0.386161321983116,"Satisfactory",0.0901017062113917,"Satisfactory",0.0450508531056959,"Satisfactory"
"Algoritmo A (3)","part_3",32.9144444444445,0.0242904617520501,0.135722433968889,"Satisfactory",0.120891167226313,"Satisfactory",0.0430528064251625,"Satisfactory",0.0215264032125812,"Satisfactory"
"Algoritmo A (3)","part_4",32.9050555555556,0.0316693338687432,-1.06671526451879,"Satisfactory",-0.950148399603279,"Satisfactory",-0.260945959586087,"Satisfactory",-0.130472979793043,"Satisfactory"
"Algoritmo A (3)","part_5",32.9275912698413,0.0364672916697221,1.8194401411083,"Satisfactory",1.62061816845555,"Satisfactory",0.387265427551109,"Satisfactory",0.193632713775555,"Satisfactory"
"Algoritmo A (3)","part_6",32.9032023809524,0.0416487672772533,-1.30405186857747,"Satisfactory",-1.16154970041372,"Satisfactory",-0.243369305583069,"Satisfactory",-0.121684652791534,"Satisfactory"
