"Componente","Valor"
"Valor asignado (xpt)","120.74457"
"DE robusta (sigma_pt)","0.56244"
"Incertidumbre del valor asignado (u_xpt)","0.22232"
"DE entre muestras (ss)","57.72273"
"DE dentro de la muestra (sw)","81.64343"
"---",""
"Criterio c","0.16873"
"Criterio c (expandido)","82.05096"
