"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",40.2484623791974,0.140959354960091,0.055719077397755,""
"Consenso MADe (2a)","2a",40.2498550537469,0.017011522908974,0.00868115643221935,""
"Consenso nIQR (2b)","2b",40.2498550537469,0.013925122045909,0.00710613408717873,""
"Algoritmo A (3)","3",40.2500044387546,0.0147948092568466,0.00754994448355818,""
