"Parametro","Valor"
"Media general","28.61868"
"DE de medias","1.01932"
"Varianza de las medias (s_x_bar_sq)","1.03901"
"sw","24.62076"
"Varianza dentro de la muestra (s_w_sq)","606.18187"
"ss","17.37964"
"---",""
"Valor asignado (xpt)","40.18937"
"Mediana de diferencias absolutas","0.03140"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.04656"
"nIQR","0.04430"
"Incertidumbre del valor asignado (u_xpt)","0.01840"
"---",""
"Criterio c","0.01397"
"Criterio c (expandido)","24.74357"
