"Parametro","Valor"
"Media general","54.09718"
"Diferencia absoluta respecto a la media general","1.34104"
"DE de medias","0.26765"
"Varianza de las medias (s_x_bar_sq)","0.07164"
"sw","55.82193"
"Varianza dentro de la muestra (s_w_sq)","3116.08835"
"ss","39.47116"
"---",""
"Valor asignado (xpt)","80.34859"
"Mediana de diferencias absolutas","0.00074"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00110"
"nIQR","0.00055"
"Incertidumbre del valor asignado (u_xpt)","0.00097"
"---",""
"Criterio c","0.02904"
"Criterio c (expandido)","56.10036"
