"Parametro","Valor"
"Media general","91.13385"
"Diferencia absoluta respecto a la media general","1.35317"
"DE de medias","0.26431"
"Varianza de las medias (s_x_bar_sq)","0.06986"
"sw","95.09562"
"Varianza dentro de la muestra (s_w_sq)","9043.17651"
"ss","67.24224"
"---",""
"Valor asignado (xpt)","135.98473"
"Mediana de diferencias absolutas","0.04064"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.06028"
"nIQR","0.03013"
"Incertidumbre del valor asignado (u_xpt)","0.05328"
"---",""
"Criterio c","0.00326"
"Criterio c (expandido)","95.56991"
