"Parametro","Valor"
"Media general","31.70780"
"DE de medias","1.00953"
"Varianza de las medias (s_x_bar_sq)","1.01915"
"sw","27.88470"
"Varianza dentro de la muestra (s_w_sq)","777.55629"
"ss","19.69160"
"---",""
"Valor asignado (xpt)","44.82797"
"Mediana de diferencias absolutas","0.02444"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03624"
"nIQR","0.03450"
"Incertidumbre del valor asignado (u_xpt)","0.01433"
"---",""
"Criterio c","0.01087"
"Criterio c (expandido)","28.02378"
