"Parametro","Valor"
"Media general","30.38633"
"Diferencia absoluta respecto a la media general","1.32147"
"DE de medias","0.24022"
"Varianza de las medias (s_x_bar_sq)","0.05770"
"sw","30.65001"
"Varianza dentro de la muestra (s_w_sq)","939.42320"
"ss","21.67150"
"---",""
"Valor asignado (xpt)","44.82275"
"Mediana de diferencias absolutas","0.00862"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.01279"
"nIQR","0.00639"
"Incertidumbre del valor asignado (u_xpt)","0.01130"
"---",""
"Criterio c","0.01087"
"Criterio c (expandido)","30.80288"
