"Parametro","Valor"
"Media general","83.28148"
"DE de medias","1.00757"
"Varianza de las medias (s_x_bar_sq)","1.01520"
"sw","82.54746"
"Varianza dentro de la muestra (s_w_sq)","6814.08276"
"ss","58.36117"
"---",""
"Valor asignado (xpt)","122.18082"
"Mediana de diferencias absolutas","0.02635"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03908"
"nIQR","0.05082"
"Incertidumbre del valor asignado (u_xpt)","0.01545"
"---",""
"Criterio c","0.01172"
"Criterio c (expandido)","82.95917"
