"Parametro","Valor"
"Media general","122.14389"
"Diferencia absoluta respecto a la media general","1.31903"
"DE de medias","0.25903"
"Varianza de las medias (s_x_bar_sq)","0.06710"
"sw","127.98642"
"Varianza dentro de la muestra (s_w_sq)","16380.52447"
"ss","90.49970"
"---",""
"Valor asignado (xpt)","182.43209"
"Mediana de diferencias absolutas","0.00122"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00181"
"nIQR","0.00090"
"Incertidumbre del valor asignado (u_xpt)","0.00160"
"---",""
"Criterio c","0.01850"
"Criterio c (expandido)","128.62477"
