"Parametro","Valor"
"Media general","0.47815"
"Diferencia absoluta respecto a la media general","1.36714"
"DE de medias","0.25240"
"Varianza de las medias (s_x_bar_sq)","0.06371"
"sw","1.15294"
"Varianza dentro de la muestra (s_w_sq)","1.32927"
"ss","0.77519"
"---",""
"Valor asignado (xpt)","-0.01465"
"Mediana de diferencias absolutas","0.03675"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.05450"
"nIQR","0.02724"
"Incertidumbre del valor asignado (u_xpt)","0.04817"
"---",""
"Criterio c","0.00100"
"Criterio c (expandido)","1.15869"
