"Parametro","Valor"
"Media general","3.18913"
"Diferencia absoluta respecto a la media general","1.28599"
"DE de medias","0.23579"
"Varianza de las medias (s_x_bar_sq)","0.05560"
"sw","1.82614"
"Varianza dentro de la muestra (s_w_sq)","3.33479"
"ss","1.26957"
"---",""
"Valor asignado (xpt)","4.03368"
"Mediana de diferencias absolutas","0.00008"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00012"
"nIQR","0.00006"
"Incertidumbre del valor asignado (u_xpt)","0.00011"
"---",""
"Criterio c","0.00089"
"Criterio c (expandido)","1.83525"
