"Parametro","Valor"
"Media general","80.90482"
"Diferencia absoluta respecto a la media general","1.45329"
"DE de medias","0.07054"
"Varianza de las medias (s_x_bar_sq)","0.00498"
"sw","84.36303"
"Varianza dentro de la muestra (s_w_sq)","7117.12056"
"ss","59.65363"
"---",""
"Valor asignado (xpt)","120.79264"
"Mediana de diferencias absolutas","0.37218"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.55194"
"nIQR","0.27589"
"Incertidumbre del valor asignado (u_xpt)","0.48785"
"---",""
"Criterio c","0.16873"
"Criterio c (expandido)","84.78411"
