"Pollutant","Run_Order","Level"
"co",1,"0-ppm"
"co",2,"2-ppm"
"co",3,"4-ppm"
"co",4,"6-ppm"
"co",5,"8-ppm"
"no",1,"0-ppb"
"no",2,"42-ppb"
"no",3,"81-ppb"
"no",4,"82-ppb"
"no",5,"121-ppb"
"no",6,"122-ppb"
"no",7,"180-ppb"
"no",8,"181-ppb"
"no",9,"182-ppb"
"no2",1,"0-ppb"
"no2",2,"30-ppb"
"no2",3,"60-ppb"
"no2",4,"90-ppb"
"no2",5,"120-ppb"
"o3",1,"0-ppb"
"o3",2,"40-ppb"
"o3",3,"80-ppb"
"o3",4,"120-ppb"
"o3",5,"180-ppb"
"so2",1,"0-ppb"
"so2",2,"20-ppb"
"so2",3,"60-ppb"
"so2",4,"61-ppb"
"so2",5,"100-ppb"
"so2",6,"140-ppb"
"so2",7,"180-ppb"
