"Componente","Valor"
"Valor asignado (xpt)","139.61629"
"DE robusta (sigma_pt)","0.03749"
"Incertidumbre del valor asignado (u_xpt)","0.01482"
"DE entre muestras (ss)","67.06547"
"DE dentro de la muestra (sw)","94.85577"
"---",""
"Criterio c","0.01125"
"Criterio c (expandido)","95.32887"
