"Componente","Valor"
"Valor asignado (xpt)","40.27123"
"DE robusta (sigma_pt)","0.14096"
"Incertidumbre del valor asignado (u_xpt)","0.05572"
"DE entre muestras (ss)","17.45987"
"DE dentro de la muestra (sw)","24.73232"
"---",""
"Criterio c","0.04229"
"Criterio c (expandido)","24.85574"
