"Componente","Valor"
"Valor asignado (xpt)","7.85968"
"DE robusta (sigma_pt)","0.02473"
"Incertidumbre del valor asignado (u_xpt)","0.00978"
"DE entre muestras (ss)","1.62626"
"DE dentro de la muestra (sw)","2.71276"
"---",""
"Criterio c","0.00742"
"Criterio c (expandido)","2.72631"
