"Parametro","Valor"
"Media general","82.35812"
"DE de medias","0.95439"
"Varianza de las medias (s_x_bar_sq)","0.91086"
"sw","81.64343"
"Varianza dentro de la muestra (s_w_sq)","6665.64922"
"ss","57.72273"
"---",""
"Valor asignado (xpt)","120.74457"
"Mediana de diferencias absolutas","0.37926"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.56244"
"nIQR","0.54724"
"Incertidumbre del valor asignado (u_xpt)","0.22232"
"---",""
"Criterio c","0.16873"
"Criterio c (expandido)","82.05096"
