"Parametro","Valor"
"Media general","28.68817"
"DE de medias","0.99827"
"Varianza de las medias (s_x_bar_sq)","0.99654"
"sw","24.73232"
"Varianza dentro de la muestra (s_w_sq)","611.68750"
"ss","17.45987"
"---",""
"Valor asignado (xpt)","40.27123"
"Mediana de diferencias absolutas","0.09505"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.14096"
"nIQR","0.15484"
"Incertidumbre del valor asignado (u_xpt)","0.05572"
"---",""
"Criterio c","0.04229"
"Criterio c (expandido)","24.85574"
