"Componente","Valor"
"Valor asignado (xpt)","2.00883"
"DE robusta (sigma_pt)","0.00827"
"Incertidumbre del valor asignado (u_xpt)","0.00327"
"DE entre muestras (ss)","2.04490"
"DE dentro de la muestra (sw)","3.22638"
"---",""
"Criterio c","0.00248"
"Criterio c (expandido)","3.24247"
