"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",94.6345563454072,0.998656217164696,0.394753530716022,""
"Consenso MADe (2a)","2a",94.6083933727682,0.123530123932671,0.0630387023953778,""
"Consenso nIQR (2b)","2b",94.6083933727682,0.190927144504129,0.0974321004336972,""
"Algoritmo A (3)","3",94.5650660456064,0.163799130466091,0.0835883937403113,""
