"Parametro","Valor"
"Media general","67.21944"
"Diferencia absoluta respecto a la media general","1.31460"
"DE de medias","0.21101"
"Varianza de las medias (s_x_bar_sq)","0.04453"
"sw","69.72591"
"Varianza dentro de la muestra (s_w_sq)","4861.70287"
"ss","49.30321"
"---",""
"Valor asignado (xpt)","100.10595"
"Mediana de diferencias absolutas","0.02143"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03178"
"nIQR","0.01588"
"Incertidumbre del valor asignado (u_xpt)","0.02809"
"---",""
"Criterio c","0.01748"
"Criterio c (expandido)","70.07368"
