"Parametro","Valor"
"Media general","121.10726"
"Diferencia absoluta respecto a la media general","1.33653"
"DE de medias","0.22924"
"Varianza de las medias (s_x_bar_sq)","0.05255"
"sw","127.00271"
"Varianza dentro de la muestra (s_w_sq)","16129.68803"
"ss","89.80418"
"---",""
"Valor asignado (xpt)","180.89183"
"Mediana de diferencias absolutas","0.20425"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.30290"
"nIQR","0.15141"
"Incertidumbre del valor asignado (u_xpt)","0.26773"
"---",""
"Criterio c","0.09580"
"Criterio c (expandido)","127.63621"
