"Parametro","Valor"
"Media general","122.44379"
"DE de medias","0.98668"
"Varianza de las medias (s_x_bar_sq)","0.97354"
"sw","124.13526"
"Varianza dentro de la muestra (s_w_sq)","15409.56312"
"ss","87.77134"
"---",""
"Valor asignado (xpt)","180.98436"
"Mediana de diferencias absolutas","0.21534"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.31935"
"nIQR","0.29023"
"Incertidumbre del valor asignado (u_xpt)","0.12623"
"---",""
"Criterio c","0.09580"
"Criterio c (expandido)","124.75446"
