"Item","sample_id","sample_1","sample_2","average","range"
1,1,97.2301680889146,94.7279915722543,64.319386553723,96.2301680889146
2,2,95.0880707710012,97.3451571239954,64.8110759649989,95.3451571239954
3,3,96.2257344110855,95.376151906682,64.8672954392558,93.2257344110855
4,4,94.7279915722543,97.3451571239954,65.3577162320832,93.3451571239954
5,5,94.1945391921523,95.7247128883774,64.9730840268432,90.7247128883774
6,6,93.9378635578584,94.3800947632794,64.7726527737126,88.3800947632794
7,7,92.5845477011494,93.4423362118595,64.3422946376696,86.4423362118595
8,8,94.6065639609644,95.2105590966628,65.9390410192091,87.2105590966628
9,9,95.5750561342593,93.9378635578584,66.1709732307059,86.5750561342593
10,10,94.7512165953757,94.6065639609644,66.45259351878,84.7512165953757
