"Componente","Valor"
"Valor asignado (xpt)","4.03482"
"DE robusta (sigma_pt)","0.00297"
"Incertidumbre del valor asignado (u_xpt)","0.00117"
"DE entre muestras (ss)","1.26848"
"DE dentro de la muestra (sw)","2.31408"
"---",""
"Criterio c","0.00089"
"Criterio c (expandido)","2.32563"
