"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",0.0241514973169465,0.00334374528301898,0.00132173137622304,""
"Consenso MADe (2a)","2a",0.0261744157867405,0.00990266810916858,0.00505343415824886,""
"Consenso nIQR (2b)","2b",0.0261744157867405,0.0161657475848191,0.00824954851946591,""
"Algoritmo A (3)","3",0.0206952601323715,0.0142221495452579,0.00725771029821616,""
