"Parametro","Valor"
"Media general","55.43822"
"DE de medias","0.98675"
"Varianza de las medias (s_x_bar_sq)","0.97369"
"sw","53.03453"
"Varianza dentro de la muestra (s_w_sq)","2812.66098"
"ss","37.48809"
"---",""
"Valor asignado (xpt)","80.42748"
"Mediana de diferencias absolutas","0.06528"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.09680"
"nIQR","0.09084"
"Incertidumbre del valor asignado (u_xpt)","0.03827"
"---",""
"Criterio c","0.02904"
"Criterio c (expandido)","53.29905"
