"Componente","Valor"
"Valor asignado (xpt)","81.57381"
"DE robusta (sigma_pt)","0.06490"
"Incertidumbre del valor asignado (u_xpt)","0.02565"
"DE entre muestras (ss)","38.06405"
"DE dentro de la muestra (sw)","53.84974"
"---",""
"Criterio c","0.01947"
"Criterio c (expandido)","54.11832"
