"Parametro","Valor"
"Media general","68.53405"
"DE de medias","0.99923"
"Varianza de las medias (s_x_bar_sq)","0.99846"
"sw","66.90479"
"Varianza dentro de la muestra (s_w_sq)","4476.25083"
"ss","47.29828"
"---",""
"Valor asignado (xpt)","100.03571"
"Mediana de diferencias absolutas","0.03929"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.05826"
"nIQR","0.05251"
"Incertidumbre del valor asignado (u_xpt)","0.02303"
"---",""
"Criterio c","0.01748"
"Criterio c (expandido)","67.23849"
