"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",122.177987700535,0.0390774465245344,0.01544671702012,""
"Consenso MADe (2a)","2a",122.170882798574,0.00745769242405988,0.00380573772865969,""
"Consenso nIQR (2b)","2b",122.170882798574,0.00592670010677456,0.00302445648335338,""
"Algoritmo A (3)","3",122.170154015565,0.00718183531655833,0.00366496498797242,""
