"Parametro","Valor"
"Media general","54.87981"
"Diferencia absoluta respecto a la media general","1.33709"
"DE de medias","0.23907"
"Varianza de las medias (s_x_bar_sq)","0.05715"
"sw","56.64358"
"Varianza dentro de la muestra (s_w_sq)","3208.49501"
"ss","40.05235"
"---",""
"Valor asignado (xpt)","81.60468"
"Mediana de diferencias absolutas","0.02071"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.03072"
"nIQR","0.01535"
"Incertidumbre del valor asignado (u_xpt)","0.02715"
"---",""
"Criterio c","0.01947"
"Criterio c (expandido)","56.92610"
