"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",182.448171836007,0.0616832834229433,0.024382458646776,""
"Consenso MADe (2a)","2a",182.433865418895,0.0192252049021701,0.00981082129391051,""
"Consenso nIQR (2b)","2b",182.433865418895,0.0156196600937056,0.00797087441360243,""
"Algoritmo A (3)","3",182.433646930524,0.014034897852788,0.00716215381904454,""
