"Componente","Valor"
"Valor asignado (xpt)","180.98436"
"DE robusta (sigma_pt)","0.31935"
"Incertidumbre del valor asignado (u_xpt)","0.12623"
"DE entre muestras (ss)","87.77134"
"DE dentro de la muestra (sw)","124.13526"
"---",""
"Criterio c","0.09580"
"Criterio c (expandido)","124.75446"
