"Parametro","Valor"
"Media general","122.11582"
"DE de medias","1.01097"
"Varianza de las medias (s_x_bar_sq)","1.02205"
"sw","123.71776"
"Varianza dentro de la muestra (s_w_sq)","15306.08290"
"ss","87.47582"
"---",""
"Valor asignado (xpt)","180.43988"
"Mediana de diferencias absolutas","0.01695"
"Numero de items (g)","10"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.02514"
"nIQR","0.02310"
"Incertidumbre del valor asignado (u_xpt)","0.00994"
"---",""
"Criterio c","0.00754"
"Criterio c (expandido)","124.33481"
