"Parametro","Valor"
"Media general","13.67137"
"Diferencia absoluta respecto a la media general","1.30608"
"DE de medias","0.25345"
"Varianza de las medias (s_x_bar_sq)","0.06424"
"sw","12.92182"
"Varianza dentro de la muestra (s_w_sq)","166.97351"
"ss","9.13359"
"---",""
"Valor asignado (xpt)","19.74647"
"Mediana de diferencias absolutas","0.02765"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.04100"
"nIQR","0.02049"
"Incertidumbre del valor asignado (u_xpt)","0.03624"
"---",""
"Criterio c","0.00602"
"Criterio c (expandido)","12.98627"
