"pollutant","level","participant_mean","value_1","value_2","value_3","participant_sd","sigma_pt","ref_value","z_score","zeta_score","En_score"
"co","0-ppm",-0.0171016860698515,-0.0117865114411883,-0.0284058610999599,-0.0111126856684063,0.00979549846238112,0.0411843566840626,-0.0277273517998126,0.258002469517097,0.343244224591519,0.17162211229576
"co","2-ppm",2.01249968479117,2.01131396948205,2.01362828282828,2.01255680206319,0.00115821343162931,0.00531001966473315,2.01493451536643,-0.458535133387701,-0.511928975856625,-0.255964487928312
"co","4-ppm",4.02511015151515,4.02484614718615,4.0240345021645,4.02644980519481,0.00122910369633968,0.0112033909090901,4.02175396825397,0.299568522460793,0.250826477258486,0.125413238629243
"co","6-ppm",6.07326603721948,6.07736174055829,6.06696486042693,6.07547151067323,0.00553821848457178,0.00600870689654901,6.06690276409414,1.05900874096517,0.497989900902452,0.248994950451226
"co","8-ppm",8.05363650895141,8.0420418797954,8.06633301364024,8.05253463341858,0.0121829960655971,0.0188282843137222,8.04595794970162,0.407820443002005,0.130678946019962,0.0653394730099811
"no","0-ppb",0.550722222222222,0.554417929292929,0.570044444444444,0.527704292929293,0.0214106467825202,0.0689669898989891,0.628721212121212,-1.13096120351532,-0.588085292044957,-0.294042646022479
"no","121-ppb",120.353175230567,120.361264822134,120.342964426878,120.355296442688,0.0093327794509073,0.0424970355727925,120.321291172596,0.750265460666892,0.358312356476308,0.179156178238154
"no","122-ppb",40.7439689922481,40.7255465116279,40.7589186046512,40.7474418604651,0.016954933159074,0.0335399418605152,40.7414302325581,0.0756936222636182,0.0387979953344606,0.0193989976672303
"no","180-ppb",182.28733956729,182.313653465347,182.297810781078,182.250554455446,0.0328269097123274,0.121111666667168,182.289934360102,-0.0214247964990488,-0.0101399897874196,-0.00506999489370981
"no","181-ppb",180.193514492754,180.204782608696,180.171086956522,180.204673913044,0.0194228921575633,0.0628663043480859,180.221920289855,-0.451844551633494,-0.32837293693164,-0.16418646846582
"no","182-ppb",76.0458565400844,75.9692784810127,76.1387721518987,76.0295189873418,0.0859198047007608,0.371500886075972,76.0979324894515,-0.140177187508553,-0.144284398246872,-0.072142199123436
"no","42-ppb",24.8542372549019,25.2498117647059,24.6595352941176,24.6533647058823,0.342591467559802,1.06121735294115,24.6983392156863,0.146904909520745,0.149984174243008,0.0749920871215039
"no","81-ppb",80.6760897435897,80.6843653846154,80.6700192307692,80.6738846153846,0.00742293576326558,0.0390713461538382,80.6785576923077,-0.0631651826947125,-0.0573421546414904,-0.0286710773207452
"no","82-ppb",25.7134139194139,25.7482417582417,25.6735714285714,25.7184285714286,0.0375868937847923,0.0638830769231157,25.6946593406593,0.293576634969207,0.180709336979338,0.090354668489669
"no2","0-ppb",0.108596574665284,0.104206900834295,0.125552000993557,0.0960308221679987,0.0152422743404486,0.0575361573472041,0.126268352790481,-0.30714213357275,-0.0991538050601695,-0.0495769025300847
"no2","120-ppb",122.878523206751,122.869240506329,122.850506329114,122.91582278481,0.0336331122781625,0.524681645569724,123.040632911392,-0.308967744555486,-0.435377273631223,-0.217688636815611
"no2","30-ppb",32.9275912698413,32.9413928571429,32.9070119047619,32.9343690476191,0.0181649711081537,0.0213622619047387,32.90925,0.858582762588086,0.489986798052825,0.244993399026412
"no2","60-ppb",64.9810586080586,64.9935494505494,65.0001648351648,64.9494615384615,0.0275630537811668,0.147974065934111,65.0157545787546,-0.234473321233763,-0.0863298365839217,-0.0431649182919609
"no2","90-ppb",96.8432441860465,96.8432209302326,96.8557906976744,96.8307209302325,0.0125348999007687,0.0663901162791221,96.8236666666667,0.294886053482709,0.451971837632323,0.225985918816161
"o3","0-ppb",4.08602150537634e-05,4.83870967741936e-05,3.87096774193548e-05,3.54838709677419e-05,6.71505161118112e-06,2.39193548387097e-05,3.44086021505374e-05,0.269723533378296,0.186116723686289,0.0930583618431443
"o3","120-ppb",119.791481979924,119.884514724818,120.065312596054,119.424618618899,0.330323344327346,1.23933185815112,120.055061176878,-0.212678464787643,-0.287898207412798,-0.143949103706399
"o3","180-ppb",178.153058762544,177.625138385875,178.426727228952,178.407310672806,0.457295521233433,0.253289659090974,177.86966413984,1.11885587323651,0.140851841032278,0.0704259205161392
"o3","40-ppb",40.5139489703234,40.6042369743951,40.5307679116749,40.4068420249002,0.0997664728887535,0.0763486337208693,40.5031747631352,0.141118533012046,0.0323649412120137,0.0161824706060069
"o3","80-ppb",79.9725685106016,79.858253789351,80.2055458738179,79.8539058686358,0.20177602665347,0.0602129892473372,80.0271580342877,-0.906607102030913,-0.0962861015873047,-0.0481430507936524
"so2","0-ppb",0.0621383647798742,0.0715094339622641,0.0554716981132075,0.059433962264151,0.00835389654690051,0.040572641509434,0.0564779874213837,0.139512172437044,0.125660778721092,0.0628303893605458
"so2","100-ppb",99.5439918851436,99.5991479400749,99.5147271268058,99.5181005885501,0.0477963163614489,0.775688743980548,99.3574901908329,0.24043367363259,0.279848170514741,0.13992408525737
"so2","140-ppb",139.096909897111,139.079036549141,139.105328683973,139.10636445822,0.015487434675387,0.131254022988585,139.032969563907,0.487149511673078,0.125142671190594,0.0625713355952971
"so2","180-ppb",180.637468011991,180.471026540908,180.823198069752,180.618179425312,0.176876322932508,0.120780412371015,180.613347956423,0.199701715649547,0.0630832746061054,0.0315416373030527
"so2","20-ppb",19.7370980392157,19.7249411764706,19.7529411764706,19.7334117647059,0.014359368538386,0.0226811764705729,19.7374901960784,-0.0172899700878778,-0.00918561473007917,-0.00459280736503959
"so2","60-ppb",59.8879211469534,59.8901075268817,59.8881720430108,59.8854838709677,0.00232201639238121,0.0295005376344397,59.8955913978494,-0.260003766408868,-0.212664821487139,-0.10633241074357
"so2","61-ppb",59.0427983539095,59.0453086419753,59.0461728395062,59.0369135802469,0.0051146485840003,0.0357018518518118,59.0602880658436,-0.489882485837506,-0.531660472125935,-0.265830236062967
