"Combinación","Etiqueta","x_pt","sigma_pt","u(x_pt)","Nota"
"Referencia (1)","1",80.4473820075758,0.096803667613699,0.0382650094396457,""
"Consenso MADe (2a)","2a",80.4301752840909,0.016714786268934,0.00852972864970144,""
"Consenso nIQR (2b)","2b",80.4301752840909,0.0143037204545577,0.00729933677855773,""
"Algoritmo A (3)","3",80.4322783459596,0.0120176910659194,0.00613275229123053,""
