"Parametro","Valor"
"Media general","1.82276"
"Diferencia absoluta respecto a la media general","1.33166"
"DE de medias","0.25662"
"Varianza de las medias (s_x_bar_sq)","0.06585"
"sw","0.50395"
"Varianza dentro de la muestra (s_w_sq)","0.25396"
"ss","0.24724"
"---",""
"Valor asignado (xpt)","2.00853"
"Mediana de diferencias absolutas","0.00068"
"Numero de items (g)","2"
"Numero de replicas (m)","3"
"DE robusta (MADe)","0.00101"
"nIQR","0.00051"
"Incertidumbre del valor asignado (u_xpt)","0.00089"
"---",""
"Criterio c","0.00248"
"Criterio c (expandido)","0.50647"
