pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
no,corrida_1,0-nmol/mol,part_3,4,21-30,0.5498075758,0.1255436827
no,corrida_1,0-nmol/mol,ref,1,1-10,0.5427828283,0.1268347487
no,corrida_1,0-nmol/mol,ref,1,11-20,0.5520727273,0.1448322765
no,corrida_1,0-nmol/mol,ref,1,21-30,0.5662712121,0.119310026
no,corrida_2,121-nmol/mol,part_1,2,1-10,120.4113439,0.08287482898
no,corrida_2,121-nmol/mol,part_1,2,11-20,120.3347036,0.05026546445
no,corrida_2,121-nmol/mol,part_1,2,21-30,120.3452569,0.04932474469
no,corrida_2,121-nmol/mol,part_2,3,1-10,120.3319368,0.1138819862
no,corrida_2,121-nmol/mol,part_2,3,11-20,120.3276285,0.07699712281
no,corrida_2,121-nmol/mol,part_2,3,21-30,120.367747,0.04643673515
no,corrida_2,121-nmol/mol,part_3,4,1-10,120.3851383,0.05920597384
no,corrida_2,121-nmol/mol,part_3,4,11-20,120.3326087,0.04430297396
no,corrida_2,121-nmol/mol,part_3,4,21-30,120.3652964,0.07713032491
no,corrida_2,121-nmol/mol,ref,1,1-10,120.3323715,0.07342622308
no,corrida_2,121-nmol/mol,ref,1,11-20,120.3866008,0.04647979717
no,corrida_2,121-nmol/mol,ref,1,21-30,120.3501976,0.06443671099
no,corrida_3,122-nmol/mol,part_1,2,1-10,40.75243023,0.04058476216
no,corrida_3,122-nmol/mol,part_1,2,11-20,40.74166279,0.03555639332
no,corrida_3,122-nmol/mol,part_1,2,21-30,40.7259186,0.05408621211
no,corrida_3,122-nmol/mol,part_2,3,1-10,40.73732558,0.06431712452
no,corrida_3,122-nmol/mol,part_2,3,11-20,40.70034884,0.03471704366
no,corrida_3,122-nmol/mol,part_2,3,21-30,40.72951163,0.0516134661
no,corrida_3,122-nmol/mol,part_3,4,1-10,40.74063953,0.04032070708
no,corrida_3,122-nmol/mol,part_3,4,11-20,40.74005814,0.05165842994
no,corrida_3,122-nmol/mol,part_3,4,21-30,40.74751163,0.06618006114
no,corrida_3,122-nmol/mol,ref,1,1-10,40.75259302,0.05738992332
no,corrida_3,122-nmol/mol,ref,1,11-20,40.76286047,0.04816047679
no,corrida_3,122-nmol/mol,ref,1,21-30,40.71490698,0.04350511637
no,corrida_4,180-nmol/mol,part_1,2,1-10,182.2615347,0.2937754456
no,corrida_4,180-nmol/mol,part_1,2,11-20,182.3335578,0.2400638546
no,corrida_4,180-nmol/mol,part_1,2,21-30,182.2108438,0.2627001239
no,corrida_4,180-nmol/mol,part_2,3,1-10,182.3591034,0.2627676671
no,corrida_4,180-nmol/mol,part_2,3,11-20,182.2518152,0.238331083
no,corrida_4,180-nmol/mol,part_2,3,21-30,182.3570473,0.2023042848
no,corrida_4,180-nmol/mol,part_3,4,1-10,182.1907426,0.2230697157
no,corrida_4,180-nmol/mol,part_3,4,11-20,182.1830594,0.2451535918
no,corrida_4,180-nmol/mol,part_3,4,21-30,182.3428405,0.2392964544
no,corrida_4,180-nmol/mol,ref,1,1-10,182.23122,0.2034787921
no,corrida_4,180-nmol/mol,ref,1,11-20,182.1331408,0.2501846393
no,corrida_4,180-nmol/mol,ref,1,21-30,182.3562046,0.2087857609
no,corrida_5,181-nmol/mol,part_1,2,1-10,180.2058696,0.1041201219
no,corrida_5,181-nmol/mol,part_1,2,11-20,180.2304348,0.1069816553
no,corrida_5,181-nmol/mol,part_1,2,21-30,180.1744565,0.06343011956
no,corrida_5,181-nmol/mol,part_2,3,1-10,180.2323913,0.05669056911
no,corrida_5,181-nmol/mol,part_2,3,11-20,180.2220652,0.06396554172
no,corrida_5,181-nmol/mol,part_2,3,21-30,180.2116304,0.07354992146
no,corrida_5,181-nmol/mol,part_3,4,1-10,180.1982609,0.07313314028
no,corrida_5,181-nmol/mol,part_3,4,11-20,180.1988043,0.04943348989
no,corrida_5,181-nmol/mol,part_3,4,21-30,180.2532609,0.0679210131
no,corrida_5,181-nmol/mol,ref,1,1-10,180.1784783,0.08544550707
no,corrida_5,181-nmol/mol,ref,1,11-20,180.203913,0.1074997008
no,corrida_5,181-nmol/mol,ref,1,21-30,180.2134783,0.07297500817
no,,182-nmol/mol,part_1,2,1-10,75.91082278,0.2479571703
no,,182-nmol/mol,part_1,2,11-20,75.94536709,0.2709105908
no,,182-nmol/mol,part_1,2,21-30,76.01417722,0.4255365489
no,,182-nmol/mol,part_2,3,1-10,75.89739241,0.2883117713
no,,182-nmol/mol,part_2,3,11-20,76.18525316,0.4071025682
no,,182-nmol/mol,part_2,3,21-30,76.14517722,0.2060515891
no,,182-nmol/mol,part_3,4,1-10,76.13855696,0.269767966
no,,182-nmol/mol,part_3,4,11-20,75.94650633,0.3905801
no,,182-nmol/mol,part_3,4,21-30,76.03889873,0.3096606221
no,,182-nmol/mol,ref,1,1-10,75.93308861,0.4974837652
no,,182-nmol/mol,ref,1,11-20,76.08293671,0.2162435921
no,,182-nmol/mol,ref,1,21-30,76.00806329,0.3599398395
no,,42-nmol/mol,part_1,2,1-10,24.70989412,1.334973624
no,,42-nmol/mol,part_1,2,11-20,25.04735294,1.321533361
no,,42-nmol/mol,part_1,2,21-30,24.55648824,0.87850986
no,,42-nmol/mol,part_2,3,1-10,24.95159412,0.6873023633
no,,42-nmol/mol,part_2,3,11-20,25.10635294,1.021213008
no,,42-nmol/mol,part_2,3,21-30,24.98659412,1.047873812
no,,42-nmol/mol,part_3,4,1-10,24.99004118,1.019112231
no,,42-nmol/mol,part_3,4,11-20,24.81234706,0.8073805912
