pollutant,run,level,participant_id,replicate,sample_group,mean_value,sd_value
co,corrida_1,0-μmol/mol,part_1,2,1-10,-0.02707635488,0.02775095332
co,corrida_1,0-μmol/mol,part_1,2,11-20,-0.02784588519,0.02800242887
co,corrida_1,0-μmol/mol,part_1,2,21-30,-0.0178589723,0.02887292229
co,corrida_1,0-μmol/mol,part_2,3,1-10,-0.005936611802,0.02171364308
co,corrida_1,0-μmol/mol,part_2,3,11-20,-0.01734977921,0.02824630544
co,corrida_1,0-μmol/mol,part_2,3,21-30,-0.0166428342,0.02786798504
co,corrida_1,0-μmol/mol,part_3,4,1-10,-0.03371963067,0.02671357584
co,corrida_1,0-μmol/mol,part_3,4,11-20,-0.03361461261,0.02715396606
co,corrida_1,0-μmol/mol,part_3,4,21-30,-0.01152922521,0.02621082809
co,corrida_1,0-μmol/mol,part_4,5,1-10,-0.02316635889,0.02774578588
co,corrida_1,0-μmol/mol,part_4,5,11-20,-0.03311007627,0.02617788354
co,corrida_1,0-μmol/mol,part_4,5,21-30,-0.02774259334,0.02893819556
co,corrida_1,0-μmol/mol,part_5,6,1-10,-0.01178651144,0.0250245841
co,corrida_1,0-μmol/mol,part_5,6,11-20,-0.0284058611,0.02817109939
co,corrida_1,0-μmol/mol,part_5,6,21-30,-0.01111268567,0.02579528679
co,corrida_1,0-μmol/mol,part_6,7,1-10,-0.02256776395,0.02837675865
co,corrida_1,0-μmol/mol,part_6,7,11-20,-0.02246431152,0.02925024306
co,corrida_1,0-μmol/mol,part_6,7,21-30,-0.0231754717,0.02845810409
co,corrida_1,0-μmol/mol,ref,1,1-10,-0.03351585709,0.02612268735
co,corrida_1,0-μmol/mol,ref,1,11-20,-0.02715463669,0.02822308689
co,corrida_1,0-μmol/mol,ref,1,21-30,-0.02251156162,0.02881026937
co,corrida_2,2-μmol/mol,part_1,2,1-10,2.01535691,0.005334841101
co,corrida_2,2-μmol/mol,part_1,2,11-20,2.01268242,0.0052905815
co,corrida_2,2-μmol/mol,part_1,2,21-30,2.014261122,0.00340940902
co,corrida_2,2-μmol/mol,part_2,3,1-10,2.011026392,0.00463061624
co,corrida_2,2-μmol/mol,part_2,3,11-20,2.014411605,0.004124301955
co,corrida_2,2-μmol/mol,part_2,3,21-30,2.012126993,0.003668879661
co,corrida_2,2-μmol/mol,part_3,4,1-10,2.014630088,0.004011666296
co,corrida_2,2-μmol/mol,part_3,4,11-20,2.01546037,0.004107468055
co,corrida_2,2-μmol/mol,part_3,4,21-30,2.014349968,0.003340391615
co,corrida_2,2-μmol/mol,part_4,5,1-10,2.012606276,0.00501710502
co,corrida_2,2-μmol/mol,part_4,5,11-20,2.014681754,0.00487170524
co,corrida_2,2-μmol/mol,part_4,5,21-30,2.012709241,0.00547491919
co,corrida_2,2-μmol/mol,part_5,6,1-10,2.011313969,0.003467143666
co,corrida_2,2-μmol/mol,part_5,6,11-20,2.013628283,0.005015793432
co,corrida_2,2-μmol/mol,part_5,6,21-30,2.012556802,0.004321002919
co,corrida_2,2-μmol/mol,part_6,7,1-10,2.012412014,0.00367962934
co,corrida_2,2-μmol/mol,part_6,7,11-20,2.013902815,0.004260339672
co,corrida_2,2-μmol/mol,part_6,7,21-30,2.014882785,0.002976540943
co,corrida_2,2-μmol/mol,ref,1,1-10,2.015933935,0.005127696083
co,corrida_2,2-μmol/mol,ref,1,11-20,2.015327638,0.004966308666
co,corrida_2,2-μmol/mol,ref,1,21-30,2.013541973,0.003364715469
co,corrida_3,4-μmol/mol,part_1,2,1-10,4.031273074,0.009400093327
co,corrida_3,4-μmol/mol,part_1,2,11-20,4.017796797,0.01398804848
co,corrida_3,4-μmol/mol,part_1,2,21-30,4.026026861,0.0123512744
